utc,Program:Slide_Table.Slide_Tbl_Position_KPP,Program:Slide_Table.Slide_Tbl_Position_Loop_Error,Program:Slide_Table.Slide_Tbl_Position_Loop_Pct_Cntrl,Program:Slide_Table.Slide_Tbl_Position_Vernier,Program:Slide_Table.Slide_Tbl_Position_WLDP,Program:Slide_Table.Slide_Tbl_Ramped_speed_FPM,Program:Slide_Table.Slide_Tbl_Ramped_speed_IPM,Program:Slide_Table.Slide_Tbl_Run_speed
2019-04-12T10:41:05.281753,/0.0, 19713.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:41:07.805898,/0.0, 19712.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:41:10.401046,/0.0, 19712.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:41:12.927191,/0.0, 19710.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:41:15.366330,/0.0, 19711.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:41:17.845472,/0.0, 19713.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:41:20.362616,/0.0, 19712.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:41:22.845758,/0.0, 19711.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:41:25.481909,/0.0, 19712.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:41:27.927049,/0.0, 19712.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:41:30.366188,/0.0, 19713.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:41:32.884332,/0.0, 19710.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:41:35.403476,/0.0, 19712.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:41:37.882618,/0.0, 19713.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:41:40.403762,/0.0, 19710.0, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:41:42.845902,/0.0, 19709.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:41:45.329044,/0.0, 19711.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:41:47.919192,/0.0, 19711.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
2019-04-12T10:41:50.280327,/0.0, 19711.5, 0.0, 0.004500150680541992, 0.0, 0.0, 1.0, 0.699999988079071/
