utc,Program:Winder_Ratio_Detector.__lff6644cb00000f83,Program:Winder_Ratio_Detector.__lff6644cb208b6462,Program:Winder_Ratio_Detector.__lff6644cb5a963948,Program:Winder_Ratio_Detector.__lff6644cb6adc479d,Program:Winder_Ratio_Detector.__lff6644cb6f52829f,Program:Winder_Ratio_Detector.__lff6644cb8d689d49,Program:Winder_Ratio_Detector.__lff6644cbb5ff5b04,Program:Winder_Ratio_Detector.__lff6644cbf90ef335
2019-04-12T10:49:10.592511,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:49:12.995649,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:49:15.557795,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:49:18.112942,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:49:20.594084,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:49:23.112228,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:49:25.558367,/1.0, 300.0, 3.2229695320129395, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:49:28.114514,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:49:30.673660,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:49:33.193804,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.306309700012207/
2019-04-12T10:49:35.713948,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:49:38.273095,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:49:40.717235,/1.0, 300.0, 3.2229695320129395, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:49:43.278381,/1.0, 300.0, 3.2229695320129395, 10.0, 3000.0, 0.0, 2.0, 9.648459434509277/
2019-04-12T10:49:45.834527,/1.0, 300.0, 3.2229695320129395, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:49:48.271667,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:49:50.911818,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:49:53.512966,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.306309700012207/
2019-04-12T10:49:56.036111,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:49:58.635259,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:50:01.233408,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:50:03.673548,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:50:06.277696,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:50:08.834843,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:50:11.359987,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:50:13.873131,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:50:16.316271,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:50:18.752410,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:50:21.157548,/1.0, 300.0, 3.2229695320129395, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:50:23.675692,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:50:26.110831,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:50:28.671977,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:50:31.155119,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:50:33.633261,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:50:36.155405,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:50:38.559543,/1.0, 300.0, 3.2229695320129395, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:50:41.153691,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:50:43.554829,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:50:45.994968,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:50:48.593117,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:50:51.076259,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:50:53.637405,/1.0, 300.0, 3.2229695320129395, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:50:56.156549,/1.0, 300.0, 3.164369821548462, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:50:58.633691,/1.0, 300.0, 3.3987674713134766, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:51:01.198838,/1.0, 300.0, 3.3987674713134766, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:51:03.596975,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:51:06.113119,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:51:08.676265,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
