utc,Program:Unwind.Uw_Pos_Step_Ref,Program:Unwind_Ratio_Detector.__l91ba878500000f83,Program:Unwind_Ratio_Detector.__l91ba878516ce4f90,Program:Unwind_Ratio_Detector.__l91ba8785208b6462,Program:Unwind_Ratio_Detector.__l91ba878559d862fe,Program:Unwind_Ratio_Detector.__l91ba87855a963948,Program:Unwind_Ratio_Detector.__l91ba8785d0c0ad05,Program:Unwind_Ratio_Detector.__l91ba8785f90ef335
2019-04-12T10:37:03.610931,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:37:06.126074,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:37:08.646219,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.880279064178467/
2019-04-12T10:37:11.127360,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.6402554512023926/
2019-04-12T10:37:13.685507,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:37:16.166649,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:37:18.726795,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.880279064178467/
2019-04-12T10:37:21.285941,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:37:23.927093,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:37:26.525241,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:37:29.006383,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:37:31.485525,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:37:34.048671,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:37:36.563815,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:37:38.968953,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:37:41.526099,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:37:44.010241,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:37:46.568388,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.6402554512023926/
2019-04-12T10:37:49.046529,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
