utc,Program:Winder_Ratio_Detector.W_CalcUpdate_Rev,Program:Winder_Ratio_Detector.W_Constant_RPMperFPM,Program:Winder_Ratio_Detector.W_DiamCalc_in,Program:Winder_Ratio_Detector.W_DiamFR_in,Program:Winder_Ratio_Detector.W_DiamMeas_in,Program:Winder_Ratio_Detector.W_DiamMeasInput,Program:Winder_Ratio_Detector.W_DiamMeasMax_DC,Program:Winder_Ratio_Detector.W_DiamMeasMax_in
2019-04-12T10:39:41.008933,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:39:43.605082,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:39:46.125226,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:39:48.608368,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:39:51.130512,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:39:53.610654,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:39:56.202802,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:39:58.721946,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:40:01.203088,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:40:03.844239,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:40:06.484390,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:40:08.970532,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:40:11.530679,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:40:14.046823,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:40:16.403958,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:40:18.963104,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:40:21.407244,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:40:23.925388,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:40:26.521536,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:40:29.121685,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:40:31.564825,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:40:34.046967,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:40:36.527109,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
