utc,Program:Winder_Ratio_Detector.W_DiamMeasMin_in,Program:Winder_Ratio_Detector.W_DiamMinEC_in,Program:Winder_Ratio_Detector.W_DiamRate_inRev,Program:Winder_Ratio_Detector.W_GearRatio,Program:Winder_Ratio_Detector.W_Preset1Val_in,Program:Winder_Ratio_Detector.W_Preset2Val_in,Program:Winder_Ratio_Detector.W_Preset3Val_in,Program:Winder_Ratio_Detector.W_PresetIncDecRate_inSec
2019-04-12T10:38:17.486156,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:20.005300,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:22.487442,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:25.050589,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:27.647737,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:30.042874,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:32.490014,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:35.008158,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:37.564304,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:40.128451,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:42.605593,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:45.003730,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:47.531874,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:50.243030,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:52.651167,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:55.209314,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:38:57.767460,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:00.409611,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:02.848751,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:05.327892,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:07.925041,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:10.404183,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:13.011332,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:15.523475,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:17.930613,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:20.451757,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:23.005903,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:25.486045,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:27.971187,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:30.488331,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:33.083480,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:35.646626,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:38.128768,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:40.604910,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:43.166057,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:45.723203,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:48.202345,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:50.767491,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:53.205631,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:55.727775,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
2019-04-12T10:39:58.242919,/1.0, 300.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0/
