utc,Program:Winder_Ratio_Detector.W_SpeedLine_FPM,Program:Winder_Ratio_Detector.W_SpeedMotor_RPM,Program:Winder_Ratio_Detector.WDR_DiamPresetVal_in,Program:Winder_Ratio_Detector.Winder_Dia_Array,Slide_Table_Fwd_Pos,Slide_Tbl_Position_Setpoint,Slide_Tbl_Rachet_Limit,Slide_Tbl_Ramped_speed_IPS,Store_Steering_Frame_Tension_Total
2019-04-12T10:38:07.087561,/9.867743492126465, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 570.0/
2019-04-12T10:38:09.529701,/10.087026596069336, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 571.0/
2019-04-12T10:38:12.127849,/10.087026596069336, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 571.0/
2019-04-12T10:38:14.691996,/10.306309700012207, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 571.0/
2019-04-12T10:38:17.209140,/9.867743492126465, 3.2229695320129395, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 571.0/
2019-04-12T10:38:19.685282,/9.867743492126465, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 571.0/
2019-04-12T10:38:22.208426,/10.087026596069336, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 571.0/
2019-04-12T10:38:24.844577,/9.867743492126465, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 571.0/
2019-04-12T10:38:27.408723,/9.867743492126465, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 571.0/
2019-04-12T10:38:29.728856,/9.867743492126465, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 571.0/
2019-04-12T10:38:32.289003,/10.087026596069336, 3.3987674713134766, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 561.0/
2019-04-12T10:38:34.727142,/10.087026596069336, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 561.0/
2019-04-12T10:38:37.207284,/9.867743492126465, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 561.0/
2019-04-12T10:38:39.843435,/9.648459434509277, 3.2229695320129395, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 561.0/
2019-04-12T10:38:42.289575,/9.648459434509277, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 561.0/
2019-04-12T10:38:44.728714,/10.306309700012207, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 557.0/
2019-04-12T10:38:47.282860,/10.087026596069336, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 557.0/
2019-04-12T10:38:49.964014,/9.867743492126465, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 557.0/
2019-04-12T10:38:52.444155,/9.648459434509277, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 557.0/
2019-04-12T10:38:54.923297,/10.087026596069336, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 564.0/
2019-04-12T10:38:57.489444,/10.087026596069336, 3.3987674713134766, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 564.0/
2019-04-12T10:39:00.089593,/9.867743492126465, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 564.0/
2019-04-12T10:39:02.569735,/10.087026596069336, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 564.0/
2019-04-12T10:39:05.085878,/9.867743492126465, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 564.0/
2019-04-12T10:39:07.647025,/9.867743492126465, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 571.0/
2019-04-12T10:39:10.126167,/10.087026596069336, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 571.0/
2019-04-12T10:39:12.762318,/9.867743492126465, 3.2229695320129395, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 571.0/
2019-04-12T10:39:15.242459,/10.306309700012207, 3.3987674713134766, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 571.0/
2019-04-12T10:39:17.646597,/10.306309700012207, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 565.0/
2019-04-12T10:39:20.167741,/10.087026596069336, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 565.0/
2019-04-12T10:39:22.725887,/9.867743492126465, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 565.0/
2019-04-12T10:39:25.204029,/9.867743492126465, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 565.0/
2019-04-12T10:39:27.728174,/10.087026596069336, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 565.0/
2019-04-12T10:39:30.247318,/10.306309700012207, 3.3987674713134766, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 571.0/
2019-04-12T10:39:32.766462,/10.087026596069336, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 571.0/
2019-04-12T10:39:35.363610,/9.867743492126465, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 571.0/
2019-04-12T10:39:37.887755,/10.087026596069336, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 571.0/
2019-04-12T10:39:40.366896,/10.087026596069336, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 570.0/
2019-04-12T10:39:42.887041,/10.087026596069336, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 570.0/
2019-04-12T10:39:45.448187,/9.867743492126465, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 570.0/
2019-04-12T10:39:47.923329,/9.867743492126465, 3.281568765640259, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 570.0/
2019-04-12T10:39:50.446473,/10.087026596069336, 3.3401682376861572, 0.0, 300.0, 7.5, 0.0, 7.5, 0.0, 570.0/
